Number of clusters;Renyi entropy
10;2.1486346551870863
11;2.1247634077104913
12;2.1770068024281546
13;2.178269146992656
14;2.1298714969194745
15;2.131575788886528
16;2.079645151085996
16;2.1308811936972445
17;2.1268899641633543
18;2.2240809396461936
19;2.1952604685524277
20;2.2331018801798463
21;2.2181501036456615
22;2.2033530928540435
23;2.228661211106537
24;2.25989882283314
25;2.2560231517904947
26;2.3255654214172914
27;2.2839005345887253
28;2.3163786244139346
29;2.3200592260986364
2;3.790323072968803
30;2.3093184626611243
31;2.3401415808287163
32;2.3305548224464143
33;2.3521069377532022
34;2.3231199412384433
35;2.3726609942215604
36;2.365948202042547
37;2.3664047863358166
38;2.3879996143297957
39;2.3872859804950757
3;2.7856843811385383
40;2.3801692506427363
41;2.38954670114018
42;2.37858025034606
43;2.4107543054190144
44;2.3917740888973382
45;2.4041522135851654
46;2.405524750715057
47;2.416180221762926
48;2.4187849702400084
49;2.4366203691427013
4;2.4774569728338336
5;2.3484673138114687
6;2.2279394828502643
7;2.2075838168586803
8;2.159649835084377
9;2.1828219391146875
